,Unnamed: 0,hotel_id,name,average_rating,no_of_reviews,address,latitude,longitude,no_of_terrible,no_of_poor,no_of_average,no_of_very_good,no_of_excellent,no_of_terrible_sentiment,no_of_poor_sentiment,no_of_average_sentiment,no_of_very_good_sentiment,no_of_excellent_sentiment,sentiment_rating,word,positiveWord,negativeWord,dataset
113,215,215,Comfort Inn Livermore,3.68,60,2625 Constitution Dr,37.701428,-121.814181,0,5,6,11,38,0,6,4,17,33,3.69,"{'location': {4: 2.0}, 'room': {11: 3.909090909090909}, 'parking': {3: 4.0}, 'lounge': {1: 4.0}, 'comfort': {1: 5.0}, 'cleanliness': {3: 3.6666666666666665}, 'spa': {2: 4.0}, 'quiet': {1: 1.0}, 'service': {1: 3.0}}","{'hotel': 33, 'shuttle': 13, 'room': 23, 'picks': 10, 'parking': 11, 'mention': 9, 'family': 8, 'catch': 6, 'drops': 6, 'gates': 6}","{'cars': 20, 'drive': 20, 'hear': 15, 'kids': 15, 'running': 15, 'laughing': 15, 'night': 15, 'location': 6, 'quick': 6, 'shower': 6}",static
284,216,216,Holiday Inn Express Hotel & Suites Emporia,4.17,59,1350 W Atlantic St,36.70669,-77.55991,0,2,4,4,49,0,2,8,14,35,3.99,"{'location': {1: 4.0}, 'room': {8: 3.875}, 'service': {4: 3.25}, 'cleanliness': {4: 4.25}, 'food': {4: 4.0}, 'business': {1: 3.0}, 'parking': {3: 4.333333333333333}, 'spa': {2: 5.0}, 'value': {1: 3.0}}","{'stay': 10, 'room': 12, 'pool': 7, 'neighborhood': 7, 'good': 6, 'bad': 5, 'cold': 5, 'fruit': 5, 'staff': 5, 'accommodating': 5}","{'day': 6, 'lot': 6, 'choices': 6, 'eating': 6, 'area': 6, 'money': 5, 'early': 4, 'catch': 4, 'shuttle': 2, 'service': 2}",static
409,217,217,Merritt House Inn,4.14,59,386 Pacific St,36.600532,-121.895694,0,0,1,12,46,0,0,3,10,46,4.15,"{'room': {11: 4.0}, 'bathroom': {2: 3.5}, 'location': {2: 3.5}, 'quiet': {1: 4.0}, 'cleanliness': {2: 4.5}, 'comfort': {1: 4.0}}","{'room': 49, 'pool': 13, 'area': 12, 'nice': 13, 'credit': 11, 'large': 11, 'miles': 10, 'great': 11, 'remodeled': 9, 'wowed': 9}","{'recommend': 6, 'hotel': 6, 'stay': 6, 'visit': 6, 'problem': 5, 'cordially': 5, 'care': 5, 'desk': 5, 'remodeled': 3}",static
160,218,218,Days Inn North Columbia Ft. Jackson,3.14,59,114 Blythewood Rd,34.21438,-80.97437,0,6,12,17,24,0,10,12,21,16,3.09,"{'room': {17: 2.764705882352941}, 'service': {1: 2.0}, 'internet': {2: 1.5}, 'cleanliness': {8: 2.875}, 'sleep': {1: 3.0}, 'spa': {1: 2.0}, 'pet-friendly': {2: 4.0}, 'location': {1: 3.0}, 'bathroom': {1: 4.0}, 'business': {1: 4.0}}","{'hotel': 25, 'wet': 9, 'bad': 7, 'towels': 7, 'bedding': 7, 'completely': 7, 'clean': 6, 'grew': 5, 'visiting': 5, 'logged': 5}","{'room': 32, 'free': 20, 'breakfast': 20, 'clean': 19, 'service': 17, 'wifi': 17, 'addition': 13, 'major': 13, 'inconvenience': 13, 'decor': 13}",static
247,219,219,Hampton Inn Grand Junction Downtown/historic Main Street,4.07,59,205 Main St,39.067321,-108.569141,0,2,1,9,47,0,1,8,19,31,3.82,"{'sleep': {1: 4.0}, 'location': {3: 3.0}, 'service': {1: 3.0}, 'bathroom': {2: 3.0}, 'room': {12: 3.1666666666666665}, 'air-conditioner': {2: 3.5}, 'spa': {2: 3.0}, 'parking': {1: 3.0}, 'cleanliness': {1: 4.0}, 'quiet': {1: 4.0}, 'comfort': {1: 4.0}}","{'stay': 8, 'nice': 8, 'door': 7, 'prepared': 7, 'restaurants': 6, 'opened': 6, 'window': 6, 'air': 6, 'coast': 6, 'freeze': 6}","{'complaints': 9, 'price': 9, 'window': 6, 'air': 6, 'family': 5, 'small': 5, 'spacious': 5, 'hall': 5, 'cool': 5, 'pleasant': 5}",static
125,220,220,Country Inn & Suites By Carlson,3.97,59,600 Tracy Trl,42.228017,-88.297272,0,2,3,13,41,0,4,12,16,27,3.62,"{'comfort': {7: 3.142857142857143}, 'spa': {1: 2.0}, 'room': {16: 3.375}, 'location': {1: 3.0}, 'cleanliness': {7: 3.2857142857142856}, 'value': {1: 4.0}, 'quiet': {2: 3.0}, 'bathroom': {4: 4.0}, 'internet': {2: 2.5}, 'parking': {2: 2.5}, 'sleep': {1: 4.0}, 'service': {1: 4.0}, 'air-conditioner': {1: 4.0}, 'pet-friendly': {1: 5.0}}","{'coffee': 8, 'quiet': 8, 'room': 18, 'small': 7, 'friendly': 6, 'helpful': 6, 'staff': 6, 'tiny': 6, 'remodeled': 5, 'charming': 5}","{'room': 33, 'remodeled': 21, 'years': 21, 'distance': 14, 'good': 14, 'easy': 13, 'deal': 12, 'low': 12, 'stay': 18, 'main': 18}",static
347,221,221,Inn At Mendenhall,4.49,59,323 Route 52 (kennett Pike),39.85972,-75.64614,0,0,0,6,53,0,0,9,13,37,4.02,"{'cleanliness': {3: 3.6666666666666665}, 'room': {11: 4.2727272727272725}, 'location': {5: 3.6}, 'lounge': {1: 3.0}, 'bathroom': {2: 4.5}, 'parking': {2: 3.5}, 'comfort': {2: 2.5}, 'air-conditioner': {1: 5.0}}","{'pool': 21, 'noise': 11, 'room': 27, 'good': 10, 'guests': 9, 'coming': 9, 'loud': 9, 'morning': 9, 'blinds': 8, 'condo': 8}","{'view': 22, 'bed': 20, 'stepped': 19, 'door': 20, 'cement': 19, 'stairs': 19, 'parking': 19, 'lot': 19, 'pool': 13, 'sea': 13}",static
323,222,222,Hotel Portaventura,3.76,59,Avda Alcalde Pere Molaskm 2,41.08352,1.153677,0,3,5,12,39,0,3,13,21,22,3.43,"{'room': {15: 3.0}, 'comfort': {9: 3.4444444444444446}, 'quiet': {2: 2.5}, 'cleanliness': {5: 3.4}, 'location': {4: 3.75}, 'pet-friendly': {1: 4.0}, 'lounge': {1: 4.0}, 'business': {1: 2.0}, 'internet': {1: 3.0}, 'service': {1: 3.0}, 'spa': {1: 2.0}}","{'unprofressional': 13, 'felt': 13, 'dirty': 13, 'unpleasant': 13, 'good': 10, 'close': 9, 'hotel': 8, 'street': 7, 'noisey': 7, 'softness': 7}","{'bath': 34, 'mention': 17, 'concern': 16, 'register': 16, 'breakfast': 16, 'area': 16, 'virtually': 16, 'nonexistent': 16, 'room': 20, 'redesign': 9}",static
454,223,223,Quality Inn & Suites,3.27,59,12085 Delaware St,39.915086,-104.992635,0,7,9,15,28,0,17,11,12,19,2.9,"{'food': {1: 2.0}, 'location': {2: 1.0}, 'room': {10: 3.5}, 'comfort': {5: 2.6}, 'service': {1: 4.0}, 'pet-friendly': {2: 4.0}, 'cleanliness': {7: 3.2857142857142856}, 'internet': {1: 1.0}, 'lounge': {2: 3.5}, 'quiet': {2: 3.0}, 'business': {1: 3.0}}","{'hotel': 18, 'clean': 10, 'quiet': 8, 'nice': 8, 'room': 11, 'clerk': 10, 'ding': 11, 'threadbare': 7, 'patch': 7, 'door': 7}","{'eat': 36, 'people': 19, 'place': 26, 'close': 16, 'food': 14, 'location': 14, 'hotel': 14, 'loud': 12, 'town': 12, 'outdated': 10}",static
265,224,224,Hilton Garden Inn Oconomowoc,4.22,58,1443 Pabst Farms Cir,43.0719,-88.46372,0,0,3,10,45,0,2,7,17,32,3.78,"{'room': {12: 3.6666666666666665}, 'spa': {1: 4.0}, 'comfort': {2: 4.0}, 'cleanliness': {8: 3.25}, 'service': {2: 3.5}, 'internet': {1: 4.0}, 'food': {1: 2.0}, 'business': {1: 4.0}, 'location': {1: 4.0}}","{'friendly': 15, 'helpful': 15, 'clean': 13, 'busy': 10, 'shops': 10, 'eat': 13, 'pool': 10, 'breakfast': 9, 'lake': 8, 'fishing': 8}","{'day': 8, 'read': 8, 'bad': 8, 'comments': 8, 'food': 8, 'good': 8, 'stay': 6, 'staff': 5, 'waitress': 5, 'decided': 5}",static
317,225,225,Hotel Garibaldi,3.83,58,Viale Garibaldi 24,45.496711,12.24464,0,1,1,17,39,0,1,9,25,23,3.61,"{'comfort': {3: 3.3333333333333335}, 'cleanliness': {5: 3.4}, 'lounge': {2: 3.5}, 'bathroom': {1: 5.0}, 'room': {8: 3.625}, 'food': {3: 4.0}, 'quiet': {1: 4.0}, 'business': {1: 3.0}, 'parking': {1: 4.0}, 'service': {1: 4.0}, 'cafe': {1: 4.0}}","{'staff': 21, 'room': 18, 'comfortable': 14, 'suite': 12, 'clean': 12, 'food': 11, 'kind': 10, 'helpful': 10, 'stay': 15, 'view': 8}","{'breakfast': 6, 'fresh': 6, 'forward': 6, 'friendly': 6, 'smile': 6, 'takes': 6, 'great': 6, 'care': 6, 'stay': 10, 'nice': 6}",static
303,226,226,Homewood Suites - Mall of America,4.29,58,2261 Killebrew Dr,44.85201,-93.23993,0,1,2,7,48,0,6,5,9,38,3.87,"{'cleanliness': {8: 4.0}, 'room': {5: 3.6}, 'food': {1: 5.0}, 'service': {3: 3.3333333333333335}, 'pet-friendly': {1: 4.0}, 'cafe': {1: 3.0}, 'comfort': {1: 4.0}}","{'clean': 10, 'fee': 8, 'hom': 18, 'comfortable': 8, 'rooms': 7, 'check': 6, 'stay': 9, 'ladies': 5, 'helpful': 5, 'visit': 5}","{'fianc': 18, 'night': 18, 'year': 18, 'daughter': 18, 'time': 18, 'friendly': 10, 'recommend': 10, 'clean': 6, 'place': 6, 'personable': 6}",static
484,227,227,Residence Inn By Marriott Deptford,4.05,58,1154 Hurffville Rd,39.83456,-75.08841,0,3,2,7,46,0,5,9,12,32,3.7,"{'comfort': {4: 3.5}, 'sleep': {4: 3.5}, 'room': {10: 3.8}, 'cleanliness': {2: 3.5}, 'lounge': {1: 3.0}, 'location': {2: 2.5}, 'parking': {2: 3.5}, 'pet-friendly': {1: 4.0}, 'food': {1: 4.0}}","{'party': 11, 'lobby': 11, 'inside': 11, 'bed': 11, 'contest': 10, 'loudest': 10, 'stairs': 10, 'clean': 8, 'unit': 8, 'worth': 7}","{'hotel': 23, 'stay': 17, 'night': 15, 'breakfast': 15, 'great': 13, 'staff': 13, 'def': 13, 'time': 13, 'broken': 11, 'large': 8}",static
187,228,228,Eldorado Suites Hotel,4.71,58,55 Ok St,31.443132,-109.91349,0,0,1,1,56,0,0,0,14,44,4.2,"{'quiet': {2: 4.5}, 'comfort': {4: 4.0}, 'spa': {3: 3.6666666666666665}, 'room': {10: 3.9}, 'cleanliness': {12: 3.9166666666666665}, 'food': {2: 3.5}, 'location': {1: 4.0}, 'service': {1: 3.0}}","{'clean': 32, 'breakfast': 28, 'free': 23, 'stay': 31, 'area': 17, 'desk': 15, 'pool': 14, 'staff': 14, 'employee': 13, 'things': 12}",{},static
351,229,229,Inter-hotel Orlans Nord,3.66,58,249 Route Nationale 20,47.939428,1.892902,0,1,5,17,35,0,5,8,18,27,3.41,"{'parking': {5: 3.4}, 'comfort': {1: 3.0}, 'quiet': {1: 3.0}, 'room': {10: 3.0}, 'cleanliness': {2: 3.0}, 'location': {7: 3.0}, 'sleep': {1: 3.0}, 'pet-friendly': {1: 1.0}, 'cafe': {2: 3.0}, 'food': {1: 3.0}, 'service': {1: 3.0}}","{'stay': 19, 'initially': 10, 'place': 8, 'parking': 7, 'good': 7, 'wanted': 6, 'crazy': 6, 'room': 6, 'free': 5, 'car': 5}","{'room': 10, 'location': 8, 'close': 5, 'hotel': 5, 'bike': 4, 'told': 4, 'parking': 4, 'fisherman': 5, 'lots': 4, 'local': 4}",static
327,230,230,Hotel Russo Palace,4.05,57,Riviera San Nicol 11/a,45.421611,12.376187,0,2,1,5,49,0,0,6,21,30,3.87,"{'bathroom': {2: 3.0}, 'room': {13: 3.4615384615384617}, 'sleep': {1: 3.0}, 'comfort': {5: 3.2}, 'gym': {1: 4.0}, 'cleanliness': {4: 4.0}, 'location': {2: 4.0}, 'quiet': {1: 4.0}, 'internet': {1: 4.0}, 'service': {1: 2.0}, 'lounge': {1: 4.0}, 'pet-friendly': {1: 4.0}}","{'arrived': 9, 'discovered': 9, 'light': 9, 'broken': 9, 'walked': 8, 'office': 8, 'explained': 8, 'problem': 8, 'comfortable': 8, 'clean': 8}","{'hot': 16, 'tub': 16, 'fridge': 8, 'filled': 8, 'microwave': 8, 'handy': 8, 'sheets': 6, 'bed': 14, 'professional': 4, 'service': 4}",static
344,231,231,Hyatt Regency Kathmandu,4.28,57,Taragaon Boudha,27.7216,85.355959,0,0,1,17,39,0,5,14,14,24,3.3,"{'location': {3: 2.0}, 'room': {6: 2.6666666666666665}, 'lounge': {2: 2.0}, 'bathroom': {1: 4.0}, 'spa': {1: 3.0}, 'cleanliness': {2: 2.0}, 'comfort': {1: 5.0}, 'sleep': {1: 2.0}, 'air-conditioner': {1: 5.0}, 'parking': {1: 4.0}, 'internet': {2: 4.0}}","{'stay': 19, 'fee': 18, 'cleaning': 11, 'condo': 10, 'understand': 9, 'book': 11, 'time': 7, 'mind': 7, 'pay': 7, 'room': 12}","{'unit': 11, 'close': 16, 'time': 5, 'office': 5, 'sign': 5, 'open': 5, 'fridge': 2, 'extremely': 2, 'clean': 2, 'older': 1}",static
359,232,232,Jvd Hotels,2.42,57,280 Power Dr,34.30856,-89.922673,0,23,7,12,15,0,16,15,13,13,2.72,"{'room': {10: 1.9}, 'location': {6: 2.5}, 'comfort': {3: 2.6666666666666665}, 'food': {1: 2.0}, 'air-conditioner': {1: 1.0}, 'quiet': {3: 2.6666666666666665}, 'cleanliness': {1: 1.0}, 'parking': {1: 2.0}, 'bathroom': {1: 4.0}}","{'baby': 4, 'moon': 4, 'week': 4, 'year': 4, 'car': 6, 'walking': 4, 'distance': 4, 'assistance': 2, 'cookies': 2, 'yummy': 2}","{'room': 55, 'flowers': 27, 'stay': 24, 'porch': 20, 'bed': 20, 'door': 17, 'lull': 17, 'hard': 17, 'leave': 17, 'clean': 17}",static
326,233,233,Hotel Roc Lago Rojo,3.77,57,Calle Miami 5,36.610974,-4.503823,0,2,2,15,38,0,2,9,26,20,3.54,"{'room': {15: 3.1333333333333333}, 'pet-friendly': {2: 3.5}, 'location': {4: 4.0}, 'value': {1: 5.0}, 'internet': {1: 3.0}, 'cleanliness': {3: 3.3333333333333335}, 'bathroom': {3: 2.3333333333333335}, 'sleep': {1: 4.0}}","{'stay': 11, 'nice': 5, 'supplies': 5, 'basic': 5, 'left': 5, 'box': 5, 'room': 5, 'microwave': 4, 'knew': 4, 'issues': 9}","{'takes': 26, 'minute': 26, 'lint': 26, 'roller': 26, 'hotel': 26, 'bed': 26, 'ensure': 26, 'guest': 26, 'nice': 26, 'unspoiled': 26}",static
308,234,234,Hotel An Der Philharmonie,3.95,57,Grosse Neugasse 36 38,50.939736,6.961262,0,0,3,10,44,0,1,4,24,28,3.88,"{'comfort': {4: 3.25}, 'room': {6: 3.8333333333333335}, 'food': {3: 3.6666666666666665}, 'lounge': {2: 5.0}, 'location': {3: 4.333333333333333}, 'business': {1: 3.0}, 'sleep': {1: 3.0}, 'cleanliness': {1: 3.0}, 'spa': {1: 3.0}, 'service': {1: 4.0}}","{'location': 14, 'excellent': 10, 'food': 10, 'perfect': 7, 'conveniences': 6, 'expect': 6, 'accommodations': 6, 'nice': 6, 'bath': 6, 'stay': 10}","{'aesthetically': 11, 'meticulously': 11, 'comfortable': 11, 'stay': 7, 'youll': 3, 'memorable': 3, 'dining': 3, 'loving': 2, 'couple': 2, 'thought': 2}",static
211,235,235,Fairfield Inn and Suites By Marriott Plainville,4.3,57,400 New Britain Ave,41.672491,-72.837151,0,0,4,7,46,0,4,6,17,30,3.71,"{'room': {15: 3.3333333333333335}, 'quiet': {1: 4.0}, 'location': {3: 2.0}, 'value': {1: 3.0}, 'business': {2: 4.0}, 'cleanliness': {4: 3.5}, 'bathroom': {3: 4.0}, 'service': {2: 3.0}, 'lounge': {2: 3.0}, 'sleep': {1: 4.0}, 'comfort': {1: 3.0}}","{'stayed': 14, 'worst': 12, 'recommend': 12, 'noise': 8, 'small': 8, 'block': 6, 'sleep': 6, 'till': 6, 'early': 6, 'business': 6}","{'helpful': 17, 'room': 12, 'hotel': 9, 'small': 8, 'needed': 8, 'relaxing': 6, 'stay': 6, 'min': 10, 'time': 5, 'complaint': 5}",static
178,236,236,Econo Lodge Bellmawr,3.12,57,301 S Black Horse Pike,39.86358,-75.07821,0,4,14,18,21,0,5,19,16,17,3.1,"{'room': {8: 3.25}, 'comfort': {2: 2.0}, 'cleanliness': {2: 3.5}, 'food': {1: 2.0}, 'bathroom': {1: 5.0}, 'service': {1: 3.0}}","{'room': 8, 'figured': 6, 'shower': 4, 'brand': 4, 'extremely': 4, 'clean': 4, 'area': 4, 'options': 4, 'stories': 4, 'entertained': 4}","{'helpful': 12, 'time': 11, 'husband': 10, 'surprised': 10, 'trip': 10, 'excellent': 9, 'deciding': 9, 'sights': 9, 'events': 9, 'stay': 18}",static
151,237,237,Days Inn Branson / Near The Strip,3.77,57,2316 Shepherd,36.65133,-93.26739,0,0,8,12,37,0,5,8,13,31,3.58,"{'comfort': {2: 3.5}, 'spa': {2: 3.5}, 'room': {9: 3.111111111111111}, 'service': {1: 4.0}, 'food': {1: 5.0}, 'quiet': {1: 5.0}, 'lounge': {2: 4.0}, 'cleanliness': {2: 4.0}}","{'stay': 16, 'delicious': 12, 'stressful': 8, 'table': 9, 'conversation': 8, 'interesting': 8, 'pool': 9, 'area': 7, 'pretty': 7, 'place': 10}","{'comfortable': 18, 'decked': 10, 'halls': 10, 'corner': 10, 'gorgeous': 10, 'holiday': 10, 'decor': 10, 'inside': 10, 'addition': 9, 'bed': 9}",static
366,238,238,Knights Inn Eau Claire,3.11,56,6260 Texaco Dr,44.84402,-91.59572,0,5,11,15,25,0,6,12,22,16,3.26,"{'service': {2: 3.0}, 'quiet': {1: 1.0}, 'cleanliness': {6: 2.5}, 'location': {1: 3.0}, 'comfort': {5: 3.0}, 'room': {11: 2.8181818181818183}, 'bathroom': {3: 2.6666666666666665}, 'air-conditioner': {1: 4.0}, 'food': {2: 3.5}, 'gym': {1: 4.0}}","{'place': 15, 'great': 12, 'amazing': 9, 'services': 9, 'fun': 9, 'environment': 9, 'nice': 8, 'recommend': 6, 'family': 6, 'couch': 5}","{'hotel': 31, 'clean': 11, 'booked': 11, 'thought': 11, 'super': 11, 'friendly': 11, 'great': 9, 'pretty': 8, 'hear': 8, 'elephants': 8}",static
542,239,239,Super 8 Dallas South,2.82,56,8541 S Hampton Rd,32.643793,-96.857314,0,12,13,15,16,0,20,13,12,11,2.56,"{'location': {5: 2.6}, 'room': {7: 2.5714285714285716}, 'cleanliness': {4: 2.5}, 'service': {2: 3.0}, 'comfort': {5: 2.8}, 'parking': {1: 3.0}, 'quiet': {1: 4.0}, 'spa': {1: 1.0}}","{'pool': 10, 'comfortable': 5, 'room': 4, 'trip': 3, 'hotel': 3, 'breakfast': 3, 'inside': 3, 'closed': 3, 'piles': 3, 'chairs': 3}","{'stay': 24, 'booked': 21, 'great': 18, 'location': 12, 'tub': 12, 'hotel': 11, 'enjoyed': 9, 'lovely': 9, 'reasons': 9, 'booking': 9}",static
307,240,240,Hotel Adler Cavalieri,4.27,56,Via Della Scala 40,43.775491,11.245648,0,1,4,4,47,0,1,6,11,38,4.02,"{'service': {1: 4.0}, 'bathroom': {1: 4.0}, 'room': {8: 3.625}, 'business': {1: 2.0}, 'comfort': {2: 4.0}, 'food': {1: 4.0}, 'internet': {1: 4.0}, 'pet-friendly': {1: 4.0}, 'cleanliness': {3: 3.0}}","{'clean': 22, 'told': 18, 'soap': 16, 'place': 15, 'person': 13, 'authorized': 13, 'deal': 26, 'discrepancy': 13, 'day': 14, 'room': 13}","{'room': 14, 'stay': 7, 'free': 7, 'quote': 7, 'thing': 7, 'change': 7, 'reserve': 7, 'favor': 7, 'clean': 6, 'updated': 6}",static
105,241,241,Comfort Hotel Nation Pere Lachaise Paris 11,3.54,56,12 Rue Leon Frot,48.85366,2.38803,0,1,3,20,32,0,4,12,12,28,3.51,"{'room': {7: 2.4285714285714284}, 'cleanliness': {9: 2.888888888888889}, 'location': {1: 2.0}, 'comfort': {4: 3.5}, 'lounge': {2: 2.5}, 'service': {2: 3.5}}","{'hotel': 18, 'comfortable': 14, 'family': 10, 'breakfast': 10, 'bar': 10, 'kinds': 10, 'protein': 10, 'reunion': 9, 'booked': 9, 'weekend': 9}","{'clean': 20, 'pool': 18, 'room': 22, 'thing': 14, 'location': 12, 'water': 12, 'staff': 12, 'snacks': 9, 'arrival': 9, 'cover': 8}",static
571,242,242,The Jayakarta Bali,3.3,56,Jl Werkudara St,-8.700062,115.164407,0,2,7,22,25,0,5,11,16,24,3.44,"{'location': {3: 3.0}, 'room': {4: 3.75}, 'cleanliness': {4: 4.0}, 'quiet': {1: 5.0}, 'lounge': {1: 4.0}, 'parking': {1: 4.0}, 'internet': {1: 4.0}, 'spa': {1: 3.0}}","{'rented': 12, 'renting': 12, 'directly': 8, 'condo': 13, 'visited': 7, 'vacation': 7, 'great': 7, 'family': 7, 'hot': 6, 'stand': 6}","{'helped': 10, 'questions': 10, 'priced': 10, 'motel': 10, 'hotel': 10, 'rented': 8, 'stay': 12, 'weekend': 6, 'owner': 5, 'kind': 5}",static
214,243,243,Fh Hotel Villa Fiesole,4.39,56,Via Beato Angelico 35,43.801897,11.298293,0,0,1,9,46,0,0,8,11,37,3.99,"{'food': {2: 4.5}, 'room': {13: 3.6153846153846154}, 'comfort': {4: 3.75}, 'value': {2: 4.0}, 'lounge': {1: 4.0}, 'bathroom': {1: 4.0}, 'pet-friendly': {1: 2.0}}","{'comfortable': 21, 'room': 24, 'stay': 21, 'walk': 15, 'area': 13, 'close': 13, 'fine': 10, 'downtown': 10, 'ready': 9, 'assist': 9}","{'thing': 9, 'complain': 9, 'limited': 9, 'cheese': 9, 'refill': 9, 'floor': 6, 'direct': 6, 'view': 6, 'windows': 6, 'stay': 5}",static
463,244,244,Quality Inn and Suites Eugene-springfield,3.93,56,3550 Gateway St,44.08588,-123.04228,0,2,4,11,39,0,1,9,15,31,3.81,"{'service': {2: 2.5}, 'room': {16: 3.625}, 'comfort': {6: 3.5}, 'quiet': {3: 3.3333333333333335}, 'cleanliness': {8: 3.25}, 'spa': {2: 2.5}, 'bathroom': {2: 4.0}, 'internet': {5: 3.6}, 'business': {2: 4.5}, 'location': {2: 4.0}}","{'room': 26, 'bed': 15, 'wonderful': 7, 'close': 7, 'usable': 7, 'corner': 7, 'hotel': 7, 'practical': 6, 'nice': 7, 'breakfast': 4}","{'horrible': 12, 'kicked': 12, 'losing': 12, 'work': 11, 'room': 10, 'clean': 10, 'comfortable': 10, 'breakfast': 10, 'basic': 9, 'include': 9}",static
233,245,245,Grand Hotel Cadenabbia,3.46,56,Via Regina 1,45.987791,9.234449,0,3,8,14,31,0,3,15,19,19,3.37,"{'cleanliness': {5: 3.8}, 'bathroom': {1: 4.0}, 'room': {8: 3.25}, 'air-conditioner': {1: 4.0}, 'comfort': {3: 2.6666666666666665}, 'location': {1: 1.0}}","{'clean': 14, 'family': 8, 'enjoyed': 8, 'night': 8, 'area': 7, 'nice': 15, 'stay': 15, 'small': 6, 'working': 6, 'order': 6}","{'knowledgeable': 12, 'park': 11, 'walk': 10, 'wait': 9, 'family': 8, 'ages': 8, 'cruise': 8, 'left': 8, 'port': 8, 'good': 7}",static
400,246,246,Marriott's Mountainside At Park City,4.21,56,1305 Lowell Ave,40.65143,-111.50604,0,0,3,8,45,0,4,7,16,29,3.79,"{'room': {2: 2.5}, 'pet-friendly': {4: 3.25}, 'internet': {1: 5.0}, 'food': {1: 4.0}, 'service': {1: 1.0}, 'lounge': {1: 4.0}, 'comfort': {1: 1.0}}","{'quartos': 16, 'soggiornato': 14, 'questo': 14, 'albergo': 14, 'qualit': 13, 'climatisation': 10, 'difficile': 10, 'periode': 10, 'redire': 10, 'trs': 8}","{'chambre': 9, 'peu': 7, 'petite': 7, 'nuit': 4, 'quindi': 3, 'brevi': 3, 'soggiorni': 3, 'notte': 3, 'max': 3, 'turistici': 3}",static
60,247,247,Best Western Silicon Valley Inn,4.04,55,600 N Mathilda Ave,37.392275,-122.029667,0,0,3,9,43,0,2,5,17,31,3.82,"{'room': {14: 3.5}, 'air-conditioner': {1: 3.0}, 'sleep': {2: 4.0}, 'comfort': {1: 5.0}, 'bathroom': {3: 3.0}, 'cleanliness': {5: 3.6}, 'service': {2: 2.5}, 'location': {1: 4.0}}","{'staff': 14, 'room': 11, 'visiting': 8, 'stay': 8, 'desk': 7, 'friendly': 7, 'ice': 15, 'soda': 7, 'machine': 7, 'broken': 7}","{'bad': 10, 'place': 6, 'manager': 6, 'interior': 6, 'outdated': 6, 'compared': 6, 'remote': 5, 'worked': 5, 'intermittently': 5, 'review': 4}",static
589,248,248,Tryp Dusseldorf Krefeld Hotel,3.96,55,Europark Fichtenhain A1,51.295746,6.557915,0,0,4,8,43,0,3,8,24,20,3.48,"{'room': {10: 3.6}, 'cleanliness': {8: 3.75}, 'service': {1: 4.0}, 'pet-friendly': {1: 5.0}, 'quiet': {2: 4.0}, 'food': {2: 3.0}, 'comfort': {2: 3.5}, 'spa': {1: 1.0}, 'air-conditioner': {1: 4.0}}","{'things': 8, 'coffee': 7, 'honestly': 7, 'good': 7, 'bad': 4, 'customer': 4, 'star': 4, 'pool': 3, 'bfast': 3, 'dark': 3}","{'breakfast': 13, 'lobby': 7, 'bit': 7, 'money': 7, 'facility': 7, 'update': 7, 'hotel': 8, 'replace': 7, 'perfect': 7, 'demand': 5}",static
466,249,249,Quinta Real Acapulco,4.16,55,Paseo De La Quinta No 6,16.79203,-99.82723,0,0,4,9,42,0,3,13,7,32,3.8,"{'cleanliness': {4: 3.5}, 'room': {4: 4.0}, 'service': {2: 2.5}, 'comfort': {1: 2.0}}","{'night': 19, 'desk': 11, 'floor': 7, 'wait': 7, 'minutes': 7, 'time': 7, 'office': 6, 'farewell': 6, 'great': 5, 'visit': 5}","{'items': 8, 'biscuits': 8, 'cold': 8, 'ordinary': 8, 'eggs': 6, 'watery': 6, 'morning': 6, 'polite': 5, 'nights': 5, 'uncomfortable': 5}",static
467,250,250,Radisson Blu Conference and Airport Hotel,3.69,55,E 5 Karayolu (yanyol) No 20,41.000606,28.802515,0,6,3,9,37,0,4,11,12,28,3.61,"{'pet-friendly': {2: 5.0}, 'internet': {1: 5.0}, 'room': {8: 3.5}, 'bathroom': {1: 4.0}, 'cleanliness': {8: 3.25}, 'service': {2: 2.5}, 'comfort': {4: 3.75}, 'food': {1: 5.0}, 'spa': {1: 4.0}, 'location': {1: 3.0}}","{'clean': 20, 'room': 14, 'stay': 7, 'place': 6, 'sufficed': 6, 'overnight': 6, 'black': 5, 'feeling': 5, 'uneasiness': 5, 'gang': 5}","{'door': 17, 'smoky': 17, 'clean': 14, 'room': 12, 'good': 12, 'game': 8, 'drive': 8, 'minutes': 8, 'care': 7, 'morning': 6}",static
478,251,251,Red Rest Inn,3.18,55,4951 Eisenhower Pkwy,32.81274,-83.71964,0,6,11,12,26,0,6,11,18,20,3.31,"{'comfort': {5: 3.6}, 'room': {11: 2.909090909090909}, 'cleanliness': {3: 3.6666666666666665}, 'internet': {1: 3.0}, 'sleep': {1: 3.0}, 'food': {3: 3.3333333333333335}, 'pet-friendly': {1: 3.0}}","{'hotel': 17, 'great': 7, 'diid': 7, 'guests': 7, 'staff': 6, 'friendly': 6, 'cus': 6, 'left': 6, 'room': 11, 'clean': 5}","{'managers': 14, 'reception': 14, 'afternoon': 14, 'early': 11, 'good': 8, 'room': 8, 'morning': 7, 'catch': 7, 'flight': 7, 'shower': 6}",static
