,Unnamed: 0,hotel_id,name,average_rating,no_of_reviews,address,latitude,longitude,no_of_terrible,no_of_poor,no_of_average,no_of_very_good,no_of_excellent,no_of_terrible_sentiment,no_of_poor_sentiment,no_of_average_sentiment,no_of_very_good_sentiment,no_of_excellent_sentiment,sentiment_rating,word,positiveWord,negativeWord,dataset
587,398,398,Travelodge Ruther Glen,2.9,20,23500 Welcome Way Dr,37.93889,-77.47339,0,5,3,5,7,0,3,4,12,1,2.99,"{'room': {5: 2.2}, 'comfort': {2: 3.0}, 'service': {1: 2.0}, 'cleanliness': {1: 2.0}}","{'ice': 8, 'times': 4, 'desk': 4, 'bucket': 4, 'machines': 4, 'man': 4, 'remember': 4}","{'staff': 15, 'hot': 28, 'tub': 9, 'extremely': 8, 'nice': 8, 'accommodating': 8, 'great': 7, 'work': 7, 'arrangements': 7, 'neighboring': 7}",static
4,399,399,Acorn Motor Inn,3.75,20,31530 State Route 20,48.288952,-122.657842,0,0,1,9,10,0,0,4,12,4,3.44,"{'cleanliness': {2: 3.5}, 'spa': {1: 4.0}, 'room': {5: 3.4}, 'sleep': {1: 3.0}, 'lounge': {2: 3.0}, 'food': {1: 3.0}, 'service': {1: 3.0}}","{'provided': 5, 'space': 5, 'sanitaries': 5, 'clean': 5, 'hostel': 5, 'standarts': 5, 'felt': 3, 'safe': 3, 'close': 3, 'wanted': 3}","{'store': 5, 'bags': 5, 'hang': 5, 'needed': 5, 'arrived': 5, 'couple': 5, 'hrs': 5, 'check': 15, 'booked': 5, 'hostel': 5}",static
158,400,400,Days Inn Lincolnton,2.81,19,614 Clark Dr,35.47112,-81.23998,0,5,2,7,5,0,5,4,5,5,3.03,"{'cleanliness': {3: 2.6666666666666665}, 'business': {1: 2.0}, 'room': {2: 2.0}, 'comfort': {1: 4.0}, 'service': {1: 1.0}}","{'clean': 4, 'great': 4, 'staff': 4, 'awesome': 4, 'nice': 4, 'fluffy': 4, 'pool': 4, 'clear': 4, 'mop': 4, 'grounds': 4}","{'night': 8, 'years': 7, 'desk': 7, 'business': 6, 'lady': 5, 'pleasant': 5, 'clean': 5, 'room': 5, 'sheets': 4, 'changed': 2}",static
275,401,401,Holiday Inn Express & Suites Portland,4.32,19,100 Holiday Dr,40.439227,-84.99398,0,0,0,3,16,0,0,0,10,9,3.94,"{'room': {4: 3.75}, 'sleep': {1: 3.0}, 'business': {1: 4.0}, 'service': {2: 3.5}, 'internet': {1: 3.0}, 'comfort': {1: 4.0}, 'cleanliness': {1: 4.0}}","{'work': 15, 'hotel': 14, 'pay': 10, 'charged': 10, 'breakfast': 8, 'signed': 7, 'realized': 7, 'card': 7, 'middle': 7, 'stay': 7}",{},static
107,402,402,Comfort Inn & Suites,3.74,19,3400 S Range Line Rd,37.05198,-94.47845,0,0,1,7,11,0,4,1,5,9,3.33,"{'parking': {1: 3.0}, 'service': {1: 4.0}, 'room': {6: 3.1666666666666665}, 'quiet': {1: 5.0}, 'comfort': {1: 3.0}, 'sleep': {2: 3.0}, 'cleanliness': {1: 4.0}}","{'hotel': 22, 'walk': 12, 'price': 9, 'room': 11, 'great': 6, 'family': 6, 'friendly': 6, 'dining': 6, 'options': 6, 'restaurant': 6}","{'hotel': 6, 'large': 6, 'family': 6, 'bed': 4, 'bad': 3, 'pull': 2, 'night': 2, 'stayed': 1, 'nice': 1, 'eat': 1}",static
22,403,403,Antlers Inn,3.95,19,460 Main St,40.730393,-106.282208,1,0,1,1,16,0,0,4,11,4,3.52,"{'comfort': {1: 3.0}, 'bathroom': {2: 2.5}, 'room': {4: 3.25}, 'cleanliness': {2: 3.0}, 'sleep': {1: 3.0}, 'business': {1: 3.0}, 'service': {1: 3.0}}","{'biggest': 8, 'problem': 8, 'bed': 8, 'staff': 5, 'nice': 5, 'lots': 2, 'ants': 2, 'room': 1, 'hotel': 1, 'accommodating': 5}","{'tile': 8, 'recommend': 7, 'support': 7, 'subject': 7, 'conditions': 7, 'owner': 7, 'friendly': 7, 'housekeeper': 7, 'quine': 4, 'beds': 4}",static
523,404,404,Suburban Extended Stay Warner Robins,3.47,19,2727 Watson Blvd,32.61835,-83.67237,0,1,2,6,10,0,5,6,4,4,2.8,"{'internet': {1: 2.0}, 'cleanliness': {4: 2.0}, 'comfort': {2: 1.5}, 'room': {3: 2.3333333333333335}}","{'issues': 4, 'booking': 4, 'room': 4, 'straightened': 4, 'outdoor': 4, 'gazebo': 4, 'guest': 4, 'grill': 4, 'free': 3, 'breakfast': 3}","{'nice': 12, 'room': 9, 'clean': 8, 'great': 6, 'set': 5, 'content': 5, 'breakfast': 5, 'morning': 5, 'good': 5, 'hot': 5}",static
583,405,405,Town Country Motel,3.95,19,5451 Osage Beach Pkwy,38.12717,-92.66533,0,3,0,1,15,0,1,2,4,12,3.96,"{'room': {5: 3.8}, 'bathroom': {1: 3.0}, 'cleanliness': {2: 3.5}, 'value': {1: 5.0}, 'location': {1: 4.0}}","{'room': 20, 'difficulties': 7, 'staff': 6, 'informed': 6, 'safe': 6, 'filled': 5, 'maintenance': 5, 'reaked': 5, 'marijuana': 5, 'cigarette': 5}","{'pretty': 8, 'awful': 6, 'thing': 6, 'people': 6, 'live': 6, 'quality': 3, 'decreased': 3, 'good': 2}",static
43,406,406,Best Western Eufaula Inn,4.16,19,1300 Birkes Rd,35.30333,-95.59251,0,2,0,2,15,0,0,4,5,10,3.67,"{'cleanliness': {1: 4.0}, 'room': {7: 2.857142857142857}, 'service': {1: 4.0}, 'comfort': {1: 4.0}}","{'stay': 15, 'room': 9, 'jacuzzi': 8, 'loved': 6, 'clean': 5, 'employees': 5, 'soaked': 5, 'rude': 5, 'service': 5, 'twackers': 5}","{'room': 15, 'good': 6, 'roach': 9, 'crawling': 6, 'stay': 5, 'slight': 4, 'mix': 4, 'great': 4, 'working': 4, 'channels': 4}",static
209,407,407,Fairfield Inn Suites Spearfish,3.47,19,2720 1st Ave,44.48047,-103.81403,0,3,1,4,11,0,2,2,6,9,3.49,"{'service': {2: 3.5}, 'parking': {1: 3.0}, 'room': {3: 4.0}, 'location': {1: 3.0}}","{'room': 16, 'wonderful': 12, 'breakfast': 8, 'quaint': 8, 'restaurants': 7, 'grocery': 7, 'opposite': 7, 'street': 7, 'good': 6, 'thing': 6}","{'lovely': 6, 'time': 6, 'hotel': 6, 'night': 6, 'plenty': 5, 'enjoyable': 5, 'art': 5, 'display': 5, 'absolutely': 4, 'train': 4}",static
